"Name","Value"
"Schedule Name","FR3_250823"
"Version","N/A"
"Environment","Chamber 3 [1]"
"Machine Name","DESKTOP-73QI2H7"
"Date/Time","11/02/2023 16:06:05"
"Database","*DEFAULT"
"Schedule Run ID","576"
"Finalized","No"
"Record Count","3902"
"Animal ID","00394"
"Application_Version","ABET II Touch 19.11.21.0"
"Max_Number_Trials","0"
"Max_Schedule_Time","3600"
"Notes","02112301"
"Schedule_Start_Time","2023-11-02T16:06:05.941"
"User","LXY"
"Evnt_Time","Evnt_ID","Event_Name","Item_Name","Alias_Name","Group_ID","Num_Args","Arg1_Name","Arg1_Value","Arg2_Name","Arg2_Value","Arg3_Name","Arg3_Value","Arg4_Name","Arg4_Value","Arg5_Name","Arg5_Value"
"0","28","Input Definition","(SYSTEM)","","0","2","Nose_Poke #1","8","Tray #1","9","","0","","0","","0"
"0","27","Output Definition","(SYSTEM)","","0","5","Feeder #1","17","Pump #1","18","White_Noise #1","20","fans #1","22","Chamber_Light #1","23"
"0","27","Output Definition","(SYSTEM)","","0","5","Tone #1","24","Tone #2","25","Tone #3","26","NP_Light #1","27","TrayLight #1","28"
"0","27","Output Definition","(SYSTEM)","","0","1","NP_Light #3","29","","0","","0","","0","","0"
"0","16","Variable Event","_Schedule_Timer","","0","1","Value","0","","0","","0","","0","","0"
"0","16","Variable Event","_Trial_Counter","","0","1","Value","0","","0","","0","","0","","0"
"0","16","Variable Event","_Trial_Timer","","0","1","Value","0","","0","","0","","0","","0"
"0","16","Variable Event","Fixed_Ratio_Count","","0","1","Value","0","","0","","0","","0","","0"
"0","16","Variable Event","Fixed_Ratio_Value","","0","1","Value","3","","0","","0","","0","","0"
"0","16","Variable Event","Volume","","0","1","Value","2222","","0","","0","","0","","0"
"0","0","Schedule Startup Event","(SYSTEM)","","0","0","","0","","0","","0","","0","","0"
"0","29","Timer Event","_Schedule_Timer","","0","1","Value","0","","0","","0","","0","","0"
"0.001","21","Group Change Event","Group Change","","0","1","New Group","1","","0","","0","","0","","0"
"0.001","1","Condition Event","Start FR","","1","0","","0","","0","","0","","0","","0"
"0.001","3","Output On Event","Chamber_Light #1","","1","0","","0","","0","","0","","0","","0"
"0.001","7","Pulse Output Event","Pump #1","","1","1","Duration","0.05","","0","","0","","0","","0"
"0.001","21","Group Change Event","Group Change","","1","1","New Group","2","","0","","0","","0","","0"
"3.549","38","Input Transition On Event","Nose_Poke #1","","2","0","","0","","0","","0","","0","","0"
"3.549","1","Condition Event","FR Count","","2","0","","0","","0","","0","","0","","0"
"3.549","16","Variable Event","Fixed_Ratio_Count","","2","1","Value","1","","0","","0","","0","","0"
"3.549","61","Group Maintain Event","Group Change","","2","1","New Group","2","","0","","0","","0","","0"
"3.609","39","Input Transition Off Event","Nose_Poke #1","","2","0","","0","","0","","0","","0","","0"
"3.744","38","Input Transition On Event","Nose_Poke #1","","2","0","","0","","0","","0","","0","","0"
"3.745","1","Condition Event","FR Count","","2","0","","0","","0","","0","","0","","0"
"3.745","16","Variable Event","Fixed_Ratio_Count","","2","1","Value","2","","0","","0","","0","","0"
"3.745","61","Group Maintain Event","Group Change","","2","1","New Group","2","","0","","0","","0","","0"
"3.909","39","Input Transition Off Event","Nose_Poke #1","","2","0","","0","","0","","0","","0","","0"
"3.984","38","Input Transition On Event","Nose_Poke #1","","2","0","","0","","0","","0","","0","","0"
"3.984","1","Condition Event","FR Count","","2","0","","0","","0","","0","","0","","0"
"3.984","16","Variable Event","Fixed_Ratio_Count","","2","1","Value","3","","0","","0","","0","","0"
"3.984","61","Group Maintain Event","Group Change","","2","1","New Group","2","","0","","0","","0","","0"
"3.984","1","Condition Event","FR Evaluation","","2","0","","0","","0","","0","","0","","0"
"3.984","7","Pulse Output Event","Pump #1","Sugar","2","1","Duration","2.222","","0","","0","","0","","0"
"3.984","16","Variable Event","Fixed_Ratio_Count","","2","1","Value","0","","0","","0","","0","","0"
"3.984","61","Group Maintain Event","Group Change","","2","1","New Group","2","","0","","0","","0","","0"
"4.103","39","Input Transition Off Event","Nose_Poke #1","","2","0","","0","","0","","0","","0","","0"
"4.298","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"4.612","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"5.437","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"5.707","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"5.811","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"5.916","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"6.305","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"6.41","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"6.529","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"21.568","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"22.826","38","Input Transition On Event","Nose_Poke #1","","2","0","","0","","0","","0","","0","","0"
"22.826","1","Condition Event","FR Count","","2","0","","0","","0","","0","","0","","0"
"22.826","16","Variable Event","Fixed_Ratio_Count","","2","1","Value","1","","0","","0","","0","","0"
"22.826","61","Group Maintain Event","Group Change","","2","1","New Group","2","","0","","0","","0","","0"
"23.066","39","Input Transition Off Event","Nose_Poke #1","","2","0","","0","","0","","0","","0","","0"
"23.081","38","Input Transition On Event","Nose_Poke #1","","2","0","","0","","0","","0","","0","","0"
"23.082","1","Condition Event","FR Count","","2","0","","0","","0","","0","","0","","0"
"23.082","16","Variable Event","Fixed_Ratio_Count","","2","1","Value","2","","0","","0","","0","","0"
"23.082","61","Group Maintain Event","Group Change","","2","1","New Group","2","","0","","0","","0","","0"
"23.171","39","Input Transition Off Event","Nose_Poke #1","","2","0","","0","","0","","0","","0","","0"
"23.201","38","Input Transition On Event","Nose_Poke #1","","2","0","","0","","0","","0","","0","","0"
"23.201","1","Condition Event","FR Count","","2","0","","0","","0","","0","","0","","0"
"23.201","16","Variable Event","Fixed_Ratio_Count","","2","1","Value","3","","0","","0","","0","","0"
"23.201","61","Group Maintain Event","Group Change","","2","1","New Group","2","","0","","0","","0","","0"
"23.201","1","Condition Event","FR Evaluation","","2","0","","0","","0","","0","","0","","0"
"23.201","7","Pulse Output Event","Pump #1","Sugar","2","1","Duration","2.222","","0","","0","","0","","0"
"23.201","16","Variable Event","Fixed_Ratio_Count","","2","1","Value","0","","0","","0","","0","","0"
"23.201","61","Group Maintain Event","Group Change","","2","1","New Group","2","","0","","0","","0","","0"
"23.366","39","Input Transition Off Event","Nose_Poke #1","","2","0","","0","","0","","0","","0","","0"
"23.726","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"23.966","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"24.431","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"38.108","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"39.262","38","Input Transition On Event","Nose_Poke #1","","2","0","","0","","0","","0","","0","","0"
"39.262","1","Condition Event","FR Count","","2","0","","0","","0","","0","","0","","0"
"39.262","16","Variable Event","Fixed_Ratio_Count","","2","1","Value","1","","0","","0","","0","","0"
"39.262","61","Group Maintain Event","Group Change","","2","1","New Group","2","","0","","0","","0","","0"
"39.427","39","Input Transition Off Event","Nose_Poke #1","","2","0","","0","","0","","0","","0","","0"
"39.771","38","Input Transition On Event","Nose_Poke #1","","2","0","","0","","0","","0","","0","","0"
"39.771","1","Condition Event","FR Count","","2","0","","0","","0","","0","","0","","0"
"39.771","16","Variable Event","Fixed_Ratio_Count","","2","1","Value","2","","0","","0","","0","","0"
"39.771","61","Group Maintain Event","Group Change","","2","1","New Group","2","","0","","0","","0","","0"
"39.846","39","Input Transition Off Event","Nose_Poke #1","","2","0","","0","","0","","0","","0","","0"
"40.206","38","Input Transition On Event","Nose_Poke #1","","2","0","","0","","0","","0","","0","","0"
"40.206","1","Condition Event","FR Count","","2","0","","0","","0","","0","","0","","0"
"40.206","16","Variable Event","Fixed_Ratio_Count","","2","1","Value","3","","0","","0","","0","","0"
"40.206","61","Group Maintain Event","Group Change","","2","1","New Group","2","","0","","0","","0","","0"
"40.206","1","Condition Event","FR Evaluation","","2","0","","0","","0","","0","","0","","0"
"40.206","7","Pulse Output Event","Pump #1","Sugar","2","1","Duration","2.222","","0","","0","","0","","0"
"40.206","16","Variable Event","Fixed_Ratio_Count","","2","1","Value","0","","0","","0","","0","","0"
"40.206","61","Group Maintain Event","Group Change","","2","1","New Group","2","","0","","0","","0","","0"
"40.341","39","Input Transition Off Event","Nose_Poke #1","","2","0","","0","","0","","0","","0","","0"
"40.565","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
