"Row_Name","Nose_Poke #1: On","Tray #1: On","Nose_Poke #1: Off","Tray #1: Off"
"N","80","56","79","55"
"Mean","35.892","56.310","36.345","57.332"
"Median","1.445","2.323","1.451","6.201"
"Mode","0.404","0.748","0.404","0.389, 0.195"
"SD","120.031","203.734","120.717","205.335"
"Min","0.060","0.149","0.104","0.105"
"Max","812.318","1,343.409","811.885","1,344.083"
"Blank",,,,
"1","30.351","6.353","30.995","7.927"
"2","8.763","2.247","8.346","0.493"
"3","38.817","2.364","38.576","2.199"
"4","0.283","2.353","0.209","2.923"
"5","1.346","1.062","1.495","0.897"
"6","63.430","6.681","63.444","8.407"
"7","37.443","12.808","37.399","11.025"
"8","1.512","0.555","1.393","0.494"
"9","0.358","22.487","0.403","23.549"
"10","0.256","1.751","0.495","0.389"
"11","3.324","0.748","3.010","2.846"
"12","0.538","2.293","0.853","0.569"
"13","32.900","130.536","32.706","130.281"
"14","6.916","8.692","8.100","10.729"
"15","1.572","67.644","1.108","66.683"
"16","1.453","1.736","0.702","0.405"
"17","0.599","0.435","0.509","18.348"
"18","0.060","18.004","0.180","0.105"
"19","0.180","18.865","1.005","19.286"
"20","1.064","0.915","0.614","0.613"
"21","51.529","0.402","51.212","0.389"
"22","13.543","0.748","14.324","22.748"
"23","1.994","29.808","1.903","8.017"
"24","1.093","21.211","4.612","21.555"
"25","0.913","1.676","1.451","1.406"
"26","4.912","0.522","0.180","0.194"
"27","0.134","49.040","0.778","49.502"
"28","0.120","0.642","0.793","20.233"
"29","0.778","32.920","0.403","13.030"
"30","0.823","9.557","4.317","9.632"
"31","4.571","0.538","69.852","18.637"
"32","69.688","18.727","0.403","6.201"
"33","0.569","25.601","2.007","19.848"
"34","1.961","0.628","0.793","0.598"
"35","0.687","0.404","2.709","22.050"
"36","2.799","51.332","0.120","34.378"
"37","0.210","4.870","0.180","0.194"
"38","0.074","23.161","0.703","41.793"
"39","0.403","118.206","28.385","113.716"
"40","28.672","14.336","1.021","0.195"
"41","0.435","0.179","0.389","2.303"
"42","0.988","2.288","0.298","0.195"
"43","0.225","0.195","0.403","0.208"
"44","0.403","7.550","10.708","8.856"
"45","10.754","741.232","0.510","739.821"
"46","0.418","317.628","23.817","317.732"
"47","23.908","0.971","0.298","0.792"
"48","0.418","0.149","7.326","20.340"
"49","7.237","20.010","0.615","1.605"
"50","0.179","0.464","0.614","0.209"
"51","0.615","1.365","0.599","1.199"
"52","0.840","1.213","0.105","1,344.083"
"53","0.403","1,343.409","181.978","1.903"
"54","181.933","1.813","3.400","0.509"
"55","2.650","1.273","1.303","1.002"
"56","1.438","0.748","1.004",
"57","1.005",,"9.645",
"58","10.215",,"14.439",
"59","13.645",,"4.000",
"60","4.313",,"7.517",
"61","8.086",,"1.003",
"62","0.328",,"0.901",
"63","0.930",,"13.028",
"64","12.881",,"811.885",
"65","812.318",,"80.036",
"66","80.380",,"1.602",
"67","0.345",,"2.995",
"68","4.268",,"0.494",
"69","0.164",,"0.104",
"70","0.432",,"209.448",
"71","209.418",,"494.453",
"72","494.109",,"1.797",
"73","0.464",,"0.403",
"74","1.856",,"48.728",
"75","48.456",,"0.913",
"76","0.944",,"496.951",
"77","496.651",,"4.509",
"78","5.272",,"0.299",
"79","0.195",,"15.037",
"80","15.172",,,
