"Name","Value"
"Schedule Name","FR3_090723"
"Version","N/A"
"Environment","Chamber 3 [1]"
"Machine Name","DESKTOP-73QI2H7"
"Date/Time","08/01/2023 15:29:29"
"Database","*DEFAULT"
"Schedule Run ID","116"
"Finalized","No"
"Record Count","2846"
"Animal ID","00397"
"Application_Version","ABET II Touch 19.11.21.0"
"Max_Number_Trials","0"
"Max_Schedule_Time","3600"
"Notes","01082301"
"Schedule_Start_Time","2023-08-01T15:29:30.018"
"User","DB"
"Evnt_Time","Evnt_ID","Event_Name","Item_Name","Alias_Name","Group_ID","Num_Args","Arg1_Name","Arg1_Value","Arg2_Name","Arg2_Value","Arg3_Name","Arg3_Value","Arg4_Name","Arg4_Value","Arg5_Name","Arg5_Value"
"0","28","Input Definition","(SYSTEM)","","0","2","Nose_Poke #1","8","Tray #1","9","","0","","0","","0"
"0","27","Output Definition","(SYSTEM)","","0","5","Feeder #1","17","Pump #1","18","White_Noise #1","20","fans #1","22","Chamber_Light #1","23"
"0","27","Output Definition","(SYSTEM)","","0","5","Tone #1","24","Tone #2","25","Tone #3","26","NP_Light #1","27","TrayLight #1","28"
"0","27","Output Definition","(SYSTEM)","","0","1","NP_Light #3","29","","0","","0","","0","","0"
"0","16","Variable Event","_Schedule_Timer","","0","1","Value","0","","0","","0","","0","","0"
"0","16","Variable Event","_Trial_Counter","","0","1","Value","0","","0","","0","","0","","0"
"0","16","Variable Event","_Trial_Timer","","0","1","Value","0","","0","","0","","0","","0"
"0","16","Variable Event","Fixed_Ratio_Count","","0","1","Value","0","","0","","0","","0","","0"
"0","16","Variable Event","Fixed_Ratio_Value","","0","1","Value","3","","0","","0","","0","","0"
"0","16","Variable Event","Volume","","0","1","Value","2727","","0","","0","","0","","0"
"0","0","Schedule Startup Event","(SYSTEM)","","0","0","","0","","0","","0","","0","","0"
"0","29","Timer Event","_Schedule_Timer","","0","1","Value","0","","0","","0","","0","","0"
"0","21","Group Change Event","Group Change","","0","1","New Group","1","","0","","0","","0","","0"
"0.001","1","Condition Event","Start FR","","1","0","","0","","0","","0","","0","","0"
"0.001","3","Output On Event","Chamber_Light #1","","1","0","","0","","0","","0","","0","","0"
"0.001","7","Pulse Output Event","Pump #1","","1","1","Duration","0.05","","0","","0","","0","","0"
"0.001","21","Group Change Event","Group Change","","1","1","New Group","2","","0","","0","","0","","0"
"14.936","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"24.388","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"29.332","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"30.8","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"35.41","38","Input Transition On Event","Nose_Poke #1","","2","0","","0","","0","","0","","0","","0"
"35.41","1","Condition Event","FR Count","","2","0","","0","","0","","0","","0","","0"
"35.41","16","Variable Event","Fixed_Ratio_Count","","2","1","Value","1","","0","","0","","0","","0"
"35.41","61","Group Maintain Event","Group Change","","2","1","New Group","2","","0","","0","","0","","0"
"35.515","39","Input Transition Off Event","Nose_Poke #1","","2","0","","0","","0","","0","","0","","0"
"35.74","38","Input Transition On Event","Nose_Poke #1","","2","0","","0","","0","","0","","0","","0"
"35.74","1","Condition Event","FR Count","","2","0","","0","","0","","0","","0","","0"
"35.74","16","Variable Event","Fixed_Ratio_Count","","2","1","Value","2","","0","","0","","0","","0"
"35.74","61","Group Maintain Event","Group Change","","2","1","New Group","2","","0","","0","","0","","0"
"35.815","39","Input Transition Off Event","Nose_Poke #1","","2","0","","0","","0","","0","","0","","0"
"37.165","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"38.526","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"40.803","38","Input Transition On Event","Nose_Poke #1","","2","0","","0","","0","","0","","0","","0"
"40.803","1","Condition Event","FR Count","","2","0","","0","","0","","0","","0","","0"
"40.803","16","Variable Event","Fixed_Ratio_Count","","2","1","Value","3","","0","","0","","0","","0"
"40.803","61","Group Maintain Event","Group Change","","2","1","New Group","2","","0","","0","","0","","0"
"40.803","1","Condition Event","FR Evaluation","","2","0","","0","","0","","0","","0","","0"
"40.803","7","Pulse Output Event","TrayLight #1","","2","1","Duration","2.727","","0","","0","","0","","0"
"40.803","7","Pulse Output Event","Pump #1","Sugar","2","1","Duration","2.727","","0","","0","","0","","0"
"40.803","16","Variable Event","Fixed_Ratio_Count","","2","1","Value","0","","0","","0","","0","","0"
"40.803","61","Group Maintain Event","Group Change","","2","1","New Group","2","","0","","0","","0","","0"
"40.832","39","Input Transition Off Event","Nose_Poke #1","","2","0","","0","","0","","0","","0","","0"
"41.477","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"59.951","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"72.026","38","Input Transition On Event","Nose_Poke #1","","2","0","","0","","0","","0","","0","","0"
"72.026","1","Condition Event","FR Count","","2","0","","0","","0","","0","","0","","0"
"72.026","16","Variable Event","Fixed_Ratio_Count","","2","1","Value","1","","0","","0","","0","","0"
"72.026","61","Group Maintain Event","Group Change","","2","1","New Group","2","","0","","0","","0","","0"
"72.101","39","Input Transition Off Event","Nose_Poke #1","","2","0","","0","","0","","0","","0","","0"
"72.131","38","Input Transition On Event","Nose_Poke #1","","2","0","","0","","0","","0","","0","","0"
"72.131","1","Condition Event","FR Count","","2","0","","0","","0","","0","","0","","0"
"72.131","16","Variable Event","Fixed_Ratio_Count","","2","1","Value","2","","0","","0","","0","","0"
"72.131","61","Group Maintain Event","Group Change","","2","1","New Group","2","","0","","0","","0","","0"
"72.355","39","Input Transition Off Event","Nose_Poke #1","","2","0","","0","","0","","0","","0","","0"
"72.385","38","Input Transition On Event","Nose_Poke #1","","2","0","","0","","0","","0","","0","","0"
"72.385","1","Condition Event","FR Count","","2","0","","0","","0","","0","","0","","0"
"72.385","16","Variable Event","Fixed_Ratio_Count","","2","1","Value","3","","0","","0","","0","","0"
"72.385","61","Group Maintain Event","Group Change","","2","1","New Group","2","","0","","0","","0","","0"
"72.385","1","Condition Event","FR Evaluation","","2","0","","0","","0","","0","","0","","0"
"72.385","7","Pulse Output Event","TrayLight #1","","2","1","Duration","2.727","","0","","0","","0","","0"
"72.385","7","Pulse Output Event","Pump #1","Sugar","2","1","Duration","2.727","","0","","0","","0","","0"
"72.385","16","Variable Event","Fixed_Ratio_Count","","2","1","Value","0","","0","","0","","0","","0"
"72.385","61","Group Maintain Event","Group Change","","2","1","New Group","2","","0","","0","","0","","0"
"72.789","39","Input Transition Off Event","Nose_Poke #1","","2","0","","0","","0","","0","","0","","0"
"73","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"73.194","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"73.599","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"74.094","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"74.498","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"74.707","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"76.639","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"77.102","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"77.252","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"99.115","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"102.052","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"104.838","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"117.025","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"117.865","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"117.984","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"119.168","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"129.694","38","Input Transition On Event","Nose_Poke #1","","2","0","","0","","0","","0","","0","","0"
"129.694","1","Condition Event","FR Count","","2","0","","0","","0","","0","","0","","0"
"129.694","16","Variable Event","Fixed_Ratio_Count","","2","1","Value","1","","0","","0","","0","","0"
"129.694","61","Group Maintain Event","Group Change","","2","1","New Group","2","","0","","0","","0","","0"
"129.799","39","Input Transition Off Event","Nose_Poke #1","","2","0","","0","","0","","0","","0","","0"
"130.653","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"131.612","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"131.642","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
