"Name","Value"
"Schedule Name","FR3_250823"
"Version","N/A"
"Environment","Chamber 3 [1]"
"Machine Name","DESKTOP-73QI2H7"
"Date/Time","11/30/2023 10:29:29"
"Database","*DEFAULT"
"Schedule Run ID","825"
"Finalized","No"
"Record Count","4462"
"Animal ID","00397"
"Application_Version","ABET II Touch 19.11.21.0"
"Max_Number_Trials","0"
"Max_Schedule_Time","3600"
"Notes","30112301"
"Schedule_Start_Time","2023-11-30T10:29:30.006"
"User","CQP"
"Evnt_Time","Evnt_ID","Event_Name","Item_Name","Alias_Name","Group_ID","Num_Args","Arg1_Name","Arg1_Value","Arg2_Name","Arg2_Value","Arg3_Name","Arg3_Value","Arg4_Name","Arg4_Value","Arg5_Name","Arg5_Value"
"0","28","Input Definition","(SYSTEM)","","0","2","Nose_Poke #1","8","Tray #1","9","","0","","0","","0"
"0","27","Output Definition","(SYSTEM)","","0","5","Feeder #1","17","Pump #1","18","White_Noise #1","20","fans #1","22","Chamber_Light #1","23"
"0","27","Output Definition","(SYSTEM)","","0","5","Tone #1","24","Tone #2","25","Tone #3","26","NP_Light #1","27","TrayLight #1","28"
"0","27","Output Definition","(SYSTEM)","","0","1","NP_Light #3","29","","0","","0","","0","","0"
"0","16","Variable Event","_Schedule_Timer","","0","1","Value","0","","0","","0","","0","","0"
"0","16","Variable Event","_Trial_Counter","","0","1","Value","0","","0","","0","","0","","0"
"0","16","Variable Event","_Trial_Timer","","0","1","Value","0","","0","","0","","0","","0"
"0","16","Variable Event","Fixed_Ratio_Count","","0","1","Value","0","","0","","0","","0","","0"
"0","16","Variable Event","Fixed_Ratio_Value","","0","1","Value","3","","0","","0","","0","","0"
"0","16","Variable Event","Volume","","0","1","Value","2222","","0","","0","","0","","0"
"0","0","Schedule Startup Event","(SYSTEM)","","0","0","","0","","0","","0","","0","","0"
"0","29","Timer Event","_Schedule_Timer","","0","1","Value","0","","0","","0","","0","","0"
"0.001","21","Group Change Event","Group Change","","0","1","New Group","1","","0","","0","","0","","0"
"0.001","1","Condition Event","Start FR","","1","0","","0","","0","","0","","0","","0"
"0.001","3","Output On Event","Chamber_Light #1","","1","0","","0","","0","","0","","0","","0"
"0.001","7","Pulse Output Event","Pump #1","","1","1","Duration","0.05","","0","","0","","0","","0"
"0.001","21","Group Change Event","Group Change","","1","1","New Group","2","","0","","0","","0","","0"
"26.771","38","Input Transition On Event","Nose_Poke #1","","2","0","","0","","0","","0","","0","","0"
"26.772","1","Condition Event","FR Count","","2","0","","0","","0","","0","","0","","0"
"26.772","16","Variable Event","Fixed_Ratio_Count","","2","1","Value","1","","0","","0","","0","","0"
"26.772","61","Group Maintain Event","Group Change","","2","1","New Group","2","","0","","0","","0","","0"
"26.966","38","Input Transition On Event","Nose_Poke #1","","2","0","","0","","0","","0","","0","","0"
"26.966","1","Condition Event","FR Count","","2","0","","0","","0","","0","","0","","0"
"26.966","16","Variable Event","Fixed_Ratio_Count","","2","1","Value","2","","0","","0","","0","","0"
"26.966","61","Group Maintain Event","Group Change","","2","1","New Group","2","","0","","0","","0","","0"
"27.07","39","Input Transition Off Event","Nose_Poke #1","","2","0","","0","","0","","0","","0","","0"
"29.498","38","Input Transition On Event","Nose_Poke #1","","2","0","","0","","0","","0","","0","","0"
"29.498","1","Condition Event","FR Count","","2","0","","0","","0","","0","","0","","0"
"29.498","16","Variable Event","Fixed_Ratio_Count","","2","1","Value","3","","0","","0","","0","","0"
"29.498","61","Group Maintain Event","Group Change","","2","1","New Group","2","","0","","0","","0","","0"
"29.498","1","Condition Event","FR Evaluation","","2","0","","0","","0","","0","","0","","0"
"29.498","7","Pulse Output Event","Pump #1","Sugar","2","1","Duration","2.222","","0","","0","","0","","0"
"29.498","16","Variable Event","Fixed_Ratio_Count","","2","1","Value","0","","0","","0","","0","","0"
"29.498","61","Group Maintain Event","Group Change","","2","1","New Group","2","","0","","0","","0","","0"
"29.678","39","Input Transition Off Event","Nose_Poke #1","","2","0","","0","","0","","0","","0","","0"
"29.783","38","Input Transition On Event","Nose_Poke #1","","2","0","","0","","0","","0","","0","","0"
"29.783","1","Condition Event","FR Count","","2","0","","0","","0","","0","","0","","0"
"29.783","16","Variable Event","Fixed_Ratio_Count","","2","1","Value","1","","0","","0","","0","","0"
"29.783","61","Group Maintain Event","Group Change","","2","1","New Group","2","","0","","0","","0","","0"
"29.888","39","Input Transition Off Event","Nose_Poke #1","","2","0","","0","","0","","0","","0","","0"
"30.322","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"31.583","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"31.628","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"42.708","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"45.227","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"48.314","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"49.274","38","Input Transition On Event","Nose_Poke #1","","2","0","","0","","0","","0","","0","","0"
"49.274","1","Condition Event","FR Count","","2","0","","0","","0","","0","","0","","0"
"49.274","16","Variable Event","Fixed_Ratio_Count","","2","1","Value","2","","0","","0","","0","","0"
"49.274","61","Group Maintain Event","Group Change","","2","1","New Group","2","","0","","0","","0","","0"
"49.304","39","Input Transition Off Event","Nose_Poke #1","","2","0","","0","","0","","0","","0","","0"
"49.813","38","Input Transition On Event","Nose_Poke #1","","2","0","","0","","0","","0","","0","","0"
"49.813","1","Condition Event","FR Count","","2","0","","0","","0","","0","","0","","0"
"49.813","16","Variable Event","Fixed_Ratio_Count","","2","1","Value","3","","0","","0","","0","","0"
"49.813","61","Group Maintain Event","Group Change","","2","1","New Group","2","","0","","0","","0","","0"
"49.813","1","Condition Event","FR Evaluation","","2","0","","0","","0","","0","","0","","0"
"49.813","7","Pulse Output Event","Pump #1","Sugar","2","1","Duration","2.222","","0","","0","","0","","0"
"49.813","16","Variable Event","Fixed_Ratio_Count","","2","1","Value","0","","0","","0","","0","","0"
"49.813","61","Group Maintain Event","Group Change","","2","1","New Group","2","","0","","0","","0","","0"
"50.007","39","Input Transition Off Event","Nose_Poke #1","","2","0","","0","","0","","0","","0","","0"
"50.142","38","Input Transition On Event","Nose_Poke #1","","2","0","","0","","0","","0","","0","","0"
"50.142","1","Condition Event","FR Count","","2","0","","0","","0","","0","","0","","0"
"50.142","16","Variable Event","Fixed_Ratio_Count","","2","1","Value","1","","0","","0","","0","","0"
"50.142","61","Group Maintain Event","Group Change","","2","1","New Group","2","","0","","0","","0","","0"
"50.216","39","Input Transition Off Event","Nose_Poke #1","","2","0","","0","","0","","0","","0","","0"
"50.441","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"50.515","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"50.53","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"64.14","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"64.515","38","Input Transition On Event","Nose_Poke #1","","2","0","","0","","0","","0","","0","","0"
"64.515","1","Condition Event","FR Count","","2","0","","0","","0","","0","","0","","0"
"64.515","16","Variable Event","Fixed_Ratio_Count","","2","1","Value","2","","0","","0","","0","","0"
"64.515","61","Group Maintain Event","Group Change","","2","1","New Group","2","","0","","0","","0","","0"
"64.74","39","Input Transition Off Event","Nose_Poke #1","","2","0","","0","","0","","0","","0","","0"
"64.935","38","Input Transition On Event","Nose_Poke #1","","2","0","","0","","0","","0","","0","","0"
"64.935","1","Condition Event","FR Count","","2","0","","0","","0","","0","","0","","0"
"64.935","16","Variable Event","Fixed_Ratio_Count","","2","1","Value","3","","0","","0","","0","","0"
"64.935","61","Group Maintain Event","Group Change","","2","1","New Group","2","","0","","0","","0","","0"
"64.935","1","Condition Event","FR Evaluation","","2","0","","0","","0","","0","","0","","0"
"64.935","7","Pulse Output Event","Pump #1","Sugar","2","1","Duration","2.222","","0","","0","","0","","0"
"64.935","16","Variable Event","Fixed_Ratio_Count","","2","1","Value","0","","0","","0","","0","","0"
"64.935","61","Group Maintain Event","Group Change","","2","1","New Group","2","","0","","0","","0","","0"
"65.04","39","Input Transition Off Event","Nose_Poke #1","","2","0","","0","","0","","0","","0","","0"
"65.19","38","Input Transition On Event","Nose_Poke #1","","2","0","","0","","0","","0","","0","","0"
"65.19","1","Condition Event","FR Count","","2","0","","0","","0","","0","","0","","0"
"65.19","16","Variable Event","Fixed_Ratio_Count","","2","1","Value","1","","0","","0","","0","","0"
"65.19","61","Group Maintain Event","Group Change","","2","1","New Group","2","","0","","0","","0","","0"
"65.25","39","Input Transition Off Event","Nose_Poke #1","","2","0","","0","","0","","0","","0","","0"
"65.625","38","Input Transition On Event","Nose_Poke #1","","2","0","","0","","0","","0","","0","","0"
