"Row_Name","Tray #1: On","Tray #1: Off"
"N","13","13"
"Mean","170.119","170.506"
"Median","13.019","11.521"
"Mode","All values","All values"
"SD","519.108","522.357"
"Min","0.989","0.808"
"Max","1,966.787","1,978.309"
"Blank",,
"1","1.019","0.809"
"2","11.730","11.521"
"3","0.989","2.201"
"4","1.439","2.501"
"5","26.541","26.245"
"6","57.748","60.025"
"7","40.917","37.259"
"8","17.937","17.445"
"9","69.139","72.176"
"10","3.233","1.093"
"11","1,966.787","1,978.309"
"12","13.019","0.808"
"13","1.048","6.186"
