"Name","Value"
"Schedule Name","FR1_250823"
"Version","N/A"
"Environment","Chamber 3 [1]"
"Machine Name","DESKTOP-73QI2H7"
"Date/Time","09/06/2023 17:30:59"
"Database","*DEFAULT"
"Schedule Run ID","316"
"Finalized","No"
"Record Count","2837"
"Animal ID","00483"
"Application_Version","ABET II Touch 19.11.21.0"
"Max_Number_Trials","0"
"Max_Schedule_Time","3600"
"Notes","06092301"
"Schedule_Start_Time","2023-09-06T17:30:59.786"
"User","DB"
"Evnt_Time","Evnt_ID","Event_Name","Item_Name","Alias_Name","Group_ID","Num_Args","Arg1_Name","Arg1_Value","Arg2_Name","Arg2_Value","Arg3_Name","Arg3_Value","Arg4_Name","Arg4_Value","Arg5_Name","Arg5_Value"
"0","28","Input Definition","(SYSTEM)","","0","2","Nose_Poke #1","8","Tray #1","9","","0","","0","","0"
"0","27","Output Definition","(SYSTEM)","","0","5","Feeder #1","17","Pump #1","18","White_Noise #1","20","fans #1","22","Chamber_Light #1","23"
"0","27","Output Definition","(SYSTEM)","","0","5","Tone #1","24","Tone #2","25","Tone #3","26","NP_Light #1","27","TrayLight #1","28"
"0","27","Output Definition","(SYSTEM)","","0","1","NP_Light #3","29","","0","","0","","0","","0"
"0","16","Variable Event","_Schedule_Timer","","0","1","Value","0","","0","","0","","0","","0"
"0","16","Variable Event","_Trial_Counter","","0","1","Value","0","","0","","0","","0","","0"
"0","16","Variable Event","_Trial_Timer","","0","1","Value","0","","0","","0","","0","","0"
"0","16","Variable Event","Fixed_Ratio_Count","","0","1","Value","0","","0","","0","","0","","0"
"0","16","Variable Event","Fixed_Ratio_Value","","0","1","Value","1","","0","","0","","0","","0"
"0","16","Variable Event","Volume","","0","1","Value","2222","","0","","0","","0","","0"
"0","0","Schedule Startup Event","(SYSTEM)","","0","0","","0","","0","","0","","0","","0"
"0","29","Timer Event","_Schedule_Timer","","0","1","Value","0","","0","","0","","0","","0"
"0","21","Group Change Event","Group Change","","0","1","New Group","1","","0","","0","","0","","0"
"0.001","1","Condition Event","Start FR","","1","0","","0","","0","","0","","0","","0"
"0.001","3","Output On Event","Chamber_Light #1","","1","0","","0","","0","","0","","0","","0"
"0.001","7","Pulse Output Event","Pump #1","","1","1","Duration","0.05","","0","","0","","0","","0"
"0.001","21","Group Change Event","Group Change","","1","1","New Group","2","","0","","0","","0","","0"
"25.259","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"25.903","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"34.333","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"39.274","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"65.05","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"65.784","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"75.024","38","Input Transition On Event","Nose_Poke #1","","2","0","","0","","0","","0","","0","","0"
"75.024","1","Condition Event","FR Count","","2","0","","0","","0","","0","","0","","0"
"75.024","16","Variable Event","Fixed_Ratio_Count","","2","1","Value","1","","0","","0","","0","","0"
"75.024","61","Group Maintain Event","Group Change","","2","1","New Group","2","","0","","0","","0","","0"
"75.024","1","Condition Event","FR Evaluation","","2","0","","0","","0","","0","","0","","0"
"75.024","7","Pulse Output Event","Pump #1","Sugar","2","1","Duration","2.222","","0","","0","","0","","0"
"75.024","16","Variable Event","Fixed_Ratio_Count","","2","1","Value","0","","0","","0","","0","","0"
"75.024","61","Group Maintain Event","Group Change","","2","1","New Group","2","","0","","0","","0","","0"
"75.069","39","Input Transition Off Event","Nose_Poke #1","","2","0","","0","","0","","0","","0","","0"
"80.715","38","Input Transition On Event","Nose_Poke #1","","2","0","","0","","0","","0","","0","","0"
"80.715","1","Condition Event","FR Count","","2","0","","0","","0","","0","","0","","0"
"80.715","16","Variable Event","Fixed_Ratio_Count","","2","1","Value","1","","0","","0","","0","","0"
"80.715","61","Group Maintain Event","Group Change","","2","1","New Group","2","","0","","0","","0","","0"
"80.715","1","Condition Event","FR Evaluation","","2","0","","0","","0","","0","","0","","0"
"80.715","7","Pulse Output Event","Pump #1","Sugar","2","1","Duration","2.222","","0","","0","","0","","0"
"80.715","16","Variable Event","Fixed_Ratio_Count","","2","1","Value","0","","0","","0","","0","","0"
"80.715","61","Group Maintain Event","Group Change","","2","1","New Group","2","","0","","0","","0","","0"
"80.805","39","Input Transition Off Event","Nose_Poke #1","","2","0","","0","","0","","0","","0","","0"
"84.878","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"120.132","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"120.312","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"120.942","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"123.97","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"126.77","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"127.085","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"127.895","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"139.819","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"140.029","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"140.585","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"140.84","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"141.258","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"152.179","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"152.509","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"155.19","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"167.848","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"171.743","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"193.218","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"194.568","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"204.482","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"208.333","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"215.315","38","Input Transition On Event","Nose_Poke #1","","2","0","","0","","0","","0","","0","","0"
"215.315","1","Condition Event","FR Count","","2","0","","0","","0","","0","","0","","0"
"215.315","16","Variable Event","Fixed_Ratio_Count","","2","1","Value","1","","0","","0","","0","","0"
"215.315","61","Group Maintain Event","Group Change","","2","1","New Group","2","","0","","0","","0","","0"
"215.315","1","Condition Event","FR Evaluation","","2","0","","0","","0","","0","","0","","0"
"215.315","7","Pulse Output Event","Pump #1","Sugar","2","1","Duration","2.222","","0","","0","","0","","0"
"215.315","16","Variable Event","Fixed_Ratio_Count","","2","1","Value","0","","0","","0","","0","","0"
"215.315","61","Group Maintain Event","Group Change","","2","1","New Group","2","","0","","0","","0","","0"
"215.48","39","Input Transition Off Event","Nose_Poke #1","","2","0","","0","","0","","0","","0","","0"
"215.599","38","Input Transition On Event","Nose_Poke #1","","2","0","","0","","0","","0","","0","","0"
"215.599","1","Condition Event","FR Count","","2","0","","0","","0","","0","","0","","0"
"215.599","16","Variable Event","Fixed_Ratio_Count","","2","1","Value","1","","0","","0","","0","","0"
"215.599","61","Group Maintain Event","Group Change","","2","1","New Group","2","","0","","0","","0","","0"
"215.6","1","Condition Event","FR Evaluation","","2","0","","0","","0","","0","","0","","0"
"215.6","7","Pulse Output Event","Pump #1","Sugar","2","1","Duration","2.222","","0","","0","","0","","0"
"215.6","16","Variable Event","Fixed_Ratio_Count","","2","1","Value","0","","0","","0","","0","","0"
"215.6","61","Group Maintain Event","Group Change","","2","1","New Group","2","","0","","0","","0","","0"
"215.974","39","Input Transition Off Event","Nose_Poke #1","","2","0","","0","","0","","0","","0","","0"
"216.483","38","Input Transition On Event","Nose_Poke #1","","2","0","","0","","0","","0","","0","","0"
"216.483","1","Condition Event","FR Count","","2","0","","0","","0","","0","","0","","0"
"216.483","16","Variable Event","Fixed_Ratio_Count","","2","1","Value","1","","0","","0","","0","","0"
"216.483","61","Group Maintain Event","Group Change","","2","1","New Group","2","","0","","0","","0","","0"
"216.483","1","Condition Event","FR Evaluation","","2","0","","0","","0","","0","","0","","0"
"216.483","7","Pulse Output Event","Pump #1","Sugar","2","1","Duration","2.222","","0","","0","","0","","0"
"216.483","16","Variable Event","Fixed_Ratio_Count","","2","1","Value","0","","0","","0","","0","","0"
"216.483","61","Group Maintain Event","Group Change","","2","1","New Group","2","","0","","0","","0","","0"
