"Row_Name","Nose_Poke #1: On","Tray #1: On","Nose_Poke #1: Off","Tray #1: Off"
"N","139","55","139","57"
"Mean","8.308","11.289","8.308","10.905"
"Median","0.435","5.286","0.373","3.683"
"Mode","0.195","0.180","0.299","1.663"
"SD","46.618","18.966","46.626","19.418"
"Min","0.061","0.149","0.090","0.164"
"Max","521.651","118.848","521.724","125.427"
"Blank",,,,
"1","5.768","46.998","6.233","47.028"
"2","0.599","0.748","0.120","0.209"
"3","0.135","0.149","0.179","0.554"
"4","0.254","2.352","0.239","0.539"
"5","0.435","10.448","0.599","2.143"
"6","0.388","0.658","0.585","10.221"
"7","0.584","0.465","0.223","0.224"
"8","12.168","16.062","12.154","0.570"
"9","0.194","1.320","0.614","0.868"
"10","0.690","31.558","0.299","15.538"
"11","0.329","10.626","0.329","1.411"
"12","0.239","0.510","0.314","31.454"
"13","13.665","44.437","14.159","10.670"
"14","0.748","24.373","0.194","0.734"
"15","0.269","0.313","0.150","44.529"
"16","0.061","5.170","0.794","24.014"
"17","0.853","51.156","0.120","0.313"
"18","0.300","1.334","0.404","6.038"
"19","0.314","0.418","0.884","51.455"
"20","0.748","0.180","0.090","0.164"
"21","6.546","5.826","6.546","0.524"
"22","0.194","4.103","0.254","4.899"
"23","0.299","1.242","0.343","1.811"
"24","0.240","6.483","0.149","3.682"
"25","0.328","8.605","0.433","6.288"
"26","0.239","0.882","0.180","4.161"
"27","0.150","1.559","1.019","5.971"
"28","1.049","5.286","0.194","1.020"
"29","0.314","1.093","0.224","4.762"
"30","0.194","6.338","0.269","1.663"
"31","24.985","4.028","25.003","1.723"
"32","6.775","2.262","7.656","7.312"
"33","1.033","1.722","0.179","3.683"
"34","0.299","1.632","0.314","2.427"
"35","12.030","1.302","11.911","1.663"
"36","0.540","13.872","0.599","0.657"
"37","0.194","0.673","0.120","14.485"
"38","0.239","20.932","0.373","0.165"
"39","0.239","4.225","0.329","14.843"
"40","0.375","6.262","0.301","7.766"
"41","0.404","9.619","0.418","3.310"
"42","0.598","0.163","0.419","15.567"
"43","0.299","8.468","1.647","0.254"
"44","1.498","18.599","0.210","0.810"
"45","20.503","13.047","20.548","14.553"
"46","0.344","0.180","0.286","23.869"
"47","7.034","13.480","7.139","1.077"
"48","0.794","19.213","0.778","1.259"
"49","13.275","8.912","13.754","20.735"
"50","0.824","0.405","0.284","19.416"
"51","24.968","118.848","25.254","0.359"
"52","10.896","11.326","10.957","1.753"
"53","0.569","6.028","0.298","125.427"
"54","161.101","9.909","161.070","5.019"
"55","0.329","35.075","0.390","9.894"
"56","0.360",,"0.973","12.249"
"57","1.377",,"0.673","27.851"
"58","0.209",,"0.225",
"59","0.211",,"0.180",
"60","0.343",,"0.298",
"61","0.223",,"0.298",
"62","1.109",,"1.857",
"63","0.987",,"0.134",
"64","0.134",,"0.495",
"65","2.233",,"2.038",
"66","19.295",,"19.190",
"67","0.134",,"0.180",
"68","0.389",,"0.375",
"69","0.254",,"0.314",
"70","0.285",,"0.300",
"71","0.838",,"1.108",
"72","0.598",,"0.209",
"73","0.089",,"0.165",
"74","0.658",,"0.582",
"75","2.740",,"2.740",
"76","0.882",,"1.002",
"77","12.545",,"12.425",
"78","0.553",,"0.718",
"79","0.870",,"0.809",
"80","0.239",,"0.585",
"81","0.555",,"0.195",
"82","0.180",,"0.164",
"83","0.329",,"0.359",
"84","0.435",,"0.359",
"85","0.120",,"0.270",
"86","1.003",,"0.973",
"87","1.857",,"2.065",
"88","0.508",,"0.210",
"89","0.240",,"0.269",
"90","0.314",,"0.374",
"91","17.858",,"17.783",
"92","0.615",,"0.704",
"93","0.389",,"0.373",
"94","3.911",,"4.271",
"95","0.673",,"0.194",
"96","0.134",,"0.149",
"97","0.255",,"0.150",
"98","0.284",,"0.404",
"99","0.180",,"0.210",
"100","0.269",,"0.239",
"101","0.180",,"0.330",
"102","0.375",,"0.269",
"103","3.115",,"3.131",
"104","0.314",,"0.298",
"105","6.774",,"6.669",
"106","0.284",,"0.345",
"107","0.299",,"0.195",
"108","0.884",,"0.943",
"109","0.180",,"0.328",
"110","0.283",,"0.135",
"111","0.149",,"0.239",
"112","0.494",,"0.494",
"113","0.389",,"0.462",
"114","0.283",,"0.285",
"115","21.043",,"20.818",
"116","0.687",,"0.778",
"117","59.746",,"59.716",
"118","0.180",,"0.284",
"119","0.689",,"0.854",
"120","0.403",,"0.225",
"121","6.711",,"6.755",
"122","72.994",,"72.964",
"123","0.210",,"0.614",
"124","0.689",,"0.134",
"125","4.240",,"4.227",
"126","0.615",,"1.468",
"127","0.944",,"0.254",
"128","0.328",,"0.283",
"129","0.330",,"0.345",
"130","2.322",,"2.638",
"131","521.651",,"521.724",
"132","3.685",,"3.551",
"133","0.495",,"0.240",
"134","0.434",,"0.358",
"135","0.959",,"0.960",
"136","0.149",,"0.223",
"137","0.316",,"0.391",
"138","0.358",,"0.298",
"139","24.528",,"24.516",
