"Row_Name","Nose_Poke #1: On","Tray #1: On","Nose_Poke #1: Off"
"N","593","2","591"
"Mean","5.870","1,406.387","5.890"
"Median","0.360","1,406.387","0.315"
"Mode","0.210","All values","0.270"
"SD","35.342","683.922","35.438"
"Min","0.029","722.464","0.058"
"Max","454.241","2,090.310","454.270"
"Blank",,,
"1","0.765","2,090.310","0.734"
"2","0.283","722.464","0.179"
"3","11.642",,"11.717"
"4","0.390",,"0.344"
"5","0.434",,"0.554"
"6","0.420",,"0.300"
"7","11.607",,"11.742"
"8","0.449",,"0.330"
"9","0.120",,"0.088"
"10","0.089",,"0.076"
"11","8.866",,"9.433"
"12","0.702",,"0.119"
"13","0.060",,"0.179"
"14","0.238",,"0.224"
"15","0.344",,"0.299"
"16","12.499",,"12.902"
"17","0.658",,"0.734"
"18","0.613",,"0.134"
"19","0.181",,"0.240"
"20","0.253",,"0.208"
"21","0.270",,"0.195"
"22","0.238",,"0.255"
"23","10.610",,"11.059"
"24","0.569",,"0.301"
"25","0.284",,"0.283"
"26","8.465",,"8.646"
"27","0.525",,"0.150"
"28","0.134",,"0.224"
"29","0.164",,"0.239"
"30","0.210",,"0.269"
"31","0.330",,"0.316"
"32","0.359",,"0.238"
"33","0.375",,"0.316"
"34","0.269",,"0.255"
"35","10.944",,"11.122"
"36","0.418",,"0.345"
"37","0.224",,"0.134"
"38","0.105",,"0.660"
"39","0.676",,"0.344"
"40","0.328",,"0.104"
"41","0.075",,"0.329"
"42","0.375",,"0.254"
"43","0.299",,"0.195"
"44","0.180",,"0.224"
"45","0.388",,"0.314"
"46","12.709",,"12.784"
"47","0.195",,"0.301"
"48","0.344",,"0.298"
"49","0.375",,"0.359"
"50","0.540",,"0.390"
"51","11.838",,"11.900"
"52","0.180",,"0.345"
"53","0.284",,"0.180"
"54","0.450",,"0.674"
"55","0.418",,"0.298"
"56","0.314",,"0.150"
"57","0.179",,"0.254"
"58","0.420",,"0.331"
"59","10.106",,"10.224"
"60","0.433",,"0.283"
"61","0.090",,"0.284"
"62","0.314",,"0.225"
"63","0.194",,"0.179"
"64","0.164",,"0.164"
"65","0.209",,"0.270"
"66","0.330",,"0.238"
"67","0.209",,"0.210"
"68","0.224",,"0.270"
"69","30.964",,"30.948"
"70","0.253",,"0.329"
"71","0.314",,"0.269"
"72","12.308",,"12.158"
"73","0.060",,"0.420"
"74","0.494",,"0.284"
"75","0.270",,"0.224"
"76","0.253",,"0.313"
"77","0.463",,"0.343"
"78","10.489",,"10.444"
"79","0.090",,"0.449"
"80","0.465",,"0.210"
"81","0.164",,"0.165"
"82","0.180",,"0.419"
