"Name","Value"
"Schedule Name","FR3_090723"
"Version","N/A"
"Environment","Chamber 3 [1]"
"Machine Name","DESKTOP-73QI2H7"
"Date/Time","08/01/2023 16:52:35"
"Database","*DEFAULT"
"Schedule Run ID","117"
"Finalized","No"
"Record Count","2577"
"Animal ID","00503"
"Application_Version","ABET II Touch 19.11.21.0"
"Max_Number_Trials","0"
"Max_Schedule_Time","3600"
"Notes","01082301"
"Schedule_Start_Time","2023-08-01T16:52:35.724"
"User","DB"
"Evnt_Time","Evnt_ID","Event_Name","Item_Name","Alias_Name","Group_ID","Num_Args","Arg1_Name","Arg1_Value","Arg2_Name","Arg2_Value","Arg3_Name","Arg3_Value","Arg4_Name","Arg4_Value","Arg5_Name","Arg5_Value"
"0","28","Input Definition","(SYSTEM)","","0","2","Nose_Poke #1","8","Tray #1","9","","0","","0","","0"
"0","27","Output Definition","(SYSTEM)","","0","5","Feeder #1","17","Pump #1","18","White_Noise #1","20","fans #1","22","Chamber_Light #1","23"
"0","27","Output Definition","(SYSTEM)","","0","5","Tone #1","24","Tone #2","25","Tone #3","26","NP_Light #1","27","TrayLight #1","28"
"0","27","Output Definition","(SYSTEM)","","0","1","NP_Light #3","29","","0","","0","","0","","0"
"0","16","Variable Event","_Schedule_Timer","","0","1","Value","0","","0","","0","","0","","0"
"0","16","Variable Event","_Trial_Counter","","0","1","Value","0","","0","","0","","0","","0"
"0","16","Variable Event","_Trial_Timer","","0","1","Value","0","","0","","0","","0","","0"
"0","16","Variable Event","Fixed_Ratio_Count","","0","1","Value","0","","0","","0","","0","","0"
"0","16","Variable Event","Fixed_Ratio_Value","","0","1","Value","3","","0","","0","","0","","0"
"0","16","Variable Event","Volume","","0","1","Value","2727","","0","","0","","0","","0"
"0","0","Schedule Startup Event","(SYSTEM)","","0","0","","0","","0","","0","","0","","0"
"0","29","Timer Event","_Schedule_Timer","","0","1","Value","0","","0","","0","","0","","0"
"0","21","Group Change Event","Group Change","","0","1","New Group","1","","0","","0","","0","","0"
"0.001","1","Condition Event","Start FR","","1","0","","0","","0","","0","","0","","0"
"0.001","3","Output On Event","Chamber_Light #1","","1","0","","0","","0","","0","","0","","0"
"0.001","7","Pulse Output Event","Pump #1","","1","1","Duration","0.05","","0","","0","","0","","0"
"0.001","21","Group Change Event","Group Change","","1","1","New Group","2","","0","","0","","0","","0"
"6.934","38","Input Transition On Event","Nose_Poke #1","","2","0","","0","","0","","0","","0","","0"
"6.934","1","Condition Event","FR Count","","2","0","","0","","0","","0","","0","","0"
"6.934","16","Variable Event","Fixed_Ratio_Count","","2","1","Value","1","","0","","0","","0","","0"
"6.934","61","Group Maintain Event","Group Change","","2","1","New Group","2","","0","","0","","0","","0"
"7.039","39","Input Transition Off Event","Nose_Poke #1","","2","0","","0","","0","","0","","0","","0"
"7.084","38","Input Transition On Event","Nose_Poke #1","","2","0","","0","","0","","0","","0","","0"
"7.084","1","Condition Event","FR Count","","2","0","","0","","0","","0","","0","","0"
"7.084","16","Variable Event","Fixed_Ratio_Count","","2","1","Value","2","","0","","0","","0","","0"
"7.084","61","Group Maintain Event","Group Change","","2","1","New Group","2","","0","","0","","0","","0"
"7.535","39","Input Transition Off Event","Nose_Poke #1","","2","0","","0","","0","","0","","0","","0"
"14.575","38","Input Transition On Event","Nose_Poke #1","","2","0","","0","","0","","0","","0","","0"
"14.575","1","Condition Event","FR Count","","2","0","","0","","0","","0","","0","","0"
"14.575","16","Variable Event","Fixed_Ratio_Count","","2","1","Value","3","","0","","0","","0","","0"
"14.575","61","Group Maintain Event","Group Change","","2","1","New Group","2","","0","","0","","0","","0"
"14.575","1","Condition Event","FR Evaluation","","2","0","","0","","0","","0","","0","","0"
"14.575","7","Pulse Output Event","TrayLight #1","","2","1","Duration","2.727","","0","","0","","0","","0"
"14.575","7","Pulse Output Event","Pump #1","Sugar","2","1","Duration","2.727","","0","","0","","0","","0"
"14.575","16","Variable Event","Fixed_Ratio_Count","","2","1","Value","0","","0","","0","","0","","0"
"14.575","61","Group Maintain Event","Group Change","","2","1","New Group","2","","0","","0","","0","","0"
"14.664","39","Input Transition Off Event","Nose_Poke #1","","2","0","","0","","0","","0","","0","","0"
"15.234","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"40.925","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"41.045","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"41.419","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"41.599","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"42.931","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"48.039","38","Input Transition On Event","Nose_Poke #1","","2","0","","0","","0","","0","","0","","0"
"48.039","1","Condition Event","FR Count","","2","0","","0","","0","","0","","0","","0"
"48.039","16","Variable Event","Fixed_Ratio_Count","","2","1","Value","1","","0","","0","","0","","0"
"48.039","61","Group Maintain Event","Group Change","","2","1","New Group","2","","0","","0","","0","","0"
"48.443","39","Input Transition Off Event","Nose_Poke #1","","2","0","","0","","0","","0","","0","","0"
"49.897","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"50.451","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"54.883","38","Input Transition On Event","Nose_Poke #1","","2","0","","0","","0","","0","","0","","0"
"54.883","1","Condition Event","FR Count","","2","0","","0","","0","","0","","0","","0"
"54.883","16","Variable Event","Fixed_Ratio_Count","","2","1","Value","2","","0","","0","","0","","0"
"54.883","61","Group Maintain Event","Group Change","","2","1","New Group","2","","0","","0","","0","","0"
"55.559","39","Input Transition Off Event","Nose_Poke #1","","2","0","","0","","0","","0","","0","","0"
"55.589","38","Input Transition On Event","Nose_Poke #1","","2","0","","0","","0","","0","","0","","0"
"55.589","1","Condition Event","FR Count","","2","0","","0","","0","","0","","0","","0"
"55.589","16","Variable Event","Fixed_Ratio_Count","","2","1","Value","3","","0","","0","","0","","0"
"55.589","61","Group Maintain Event","Group Change","","2","1","New Group","2","","0","","0","","0","","0"
"55.589","1","Condition Event","FR Evaluation","","2","0","","0","","0","","0","","0","","0"
"55.589","7","Pulse Output Event","TrayLight #1","","2","1","Duration","2.727","","0","","0","","0","","0"
"55.589","7","Pulse Output Event","Pump #1","Sugar","2","1","Duration","2.727","","0","","0","","0","","0"
"55.589","16","Variable Event","Fixed_Ratio_Count","","2","1","Value","0","","0","","0","","0","","0"
"55.589","61","Group Maintain Event","Group Change","","2","1","New Group","2","","0","","0","","0","","0"
"55.619","39","Input Transition Off Event","Nose_Poke #1","","2","0","","0","","0","","0","","0","","0"
"55.739","38","Input Transition On Event","Nose_Poke #1","","2","0","","0","","0","","0","","0","","0"
"55.739","1","Condition Event","FR Count","","2","0","","0","","0","","0","","0","","0"
"55.739","16","Variable Event","Fixed_Ratio_Count","","2","1","Value","1","","0","","0","","0","","0"
"55.739","61","Group Maintain Event","Group Change","","2","1","New Group","2","","0","","0","","0","","0"
"55.769","39","Input Transition Off Event","Nose_Poke #1","","2","0","","0","","0","","0","","0","","0"
"56.189","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"76.636","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"76.711","38","Input Transition On Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"76.936","39","Input Transition Off Event","Tray #1","","2","0","","0","","0","","0","","0","","0"
"80.92","38","Input Transition On Event","Nose_Poke #1","","2","0","","0","","0","","0","","0","","0"
"80.92","1","Condition Event","FR Count","","2","0","","0","","0","","0","","0","","0"
"80.92","16","Variable Event","Fixed_Ratio_Count","","2","1","Value","2","","0","","0","","0","","0"
"80.92","61","Group Maintain Event","Group Change","","2","1","New Group","2","","0","","0","","0","","0"
"80.995","39","Input Transition Off Event","Nose_Poke #1","","2","0","","0","","0","","0","","0","","0"
"81.04","38","Input Transition On Event","Nose_Poke #1","","2","0","","0","","0","","0","","0","","0"
"81.04","1","Condition Event","FR Count","","2","0","","0","","0","","0","","0","","0"
"81.04","16","Variable Event","Fixed_Ratio_Count","","2","1","Value","3","","0","","0","","0","","0"
"81.04","61","Group Maintain Event","Group Change","","2","1","New Group","2","","0","","0","","0","","0"
"81.04","1","Condition Event","FR Evaluation","","2","0","","0","","0","","0","","0","","0"
"81.04","7","Pulse Output Event","TrayLight #1","","2","1","Duration","2.727","","0","","0","","0","","0"
"81.04","7","Pulse Output Event","Pump #1","Sugar","2","1","Duration","2.727","","0","","0","","0","","0"
"81.04","16","Variable Event","Fixed_Ratio_Count","","2","1","Value","0","","0","","0","","0","","0"
"81.04","61","Group Maintain Event","Group Change","","2","1","New Group","2","","0","","0","","0","","0"
