"Row_Name","Nose_Poke #1: On","Tray #1: On","Nose_Poke #1: Off","Tray #1: Off"
"N","332","168","330","168"
"Mean","10.769","21.235","10.834","21.173"
"Median","1.062","14.771","1.003","14.964"
"Mode","0.330","18.051","0.300","0.899"
"SD","74.059","96.300","74.285","96.193"
"Min","0.045","0.239","0.060","0.090"
"Max","1,347.235","1,258.909","1,347.205","1,258.463"
"Blank",,,,
"1","0.149","25.811","0.496","0.493"
"2","7.491","0.553","7.129","1.512"
"3","33.464","8.298","33.779","7.520"
"4","6.844","6.292","7.116","26.184"
"5","0.705","20.522","0.060","0.300"
"6","0.149","4.929","0.149","22.519"
"7","25.181","17.891","25.226","0.090"
"8","0.120","1.062","0.164","1.617"
"9","23.027","0.585","22.998","0.194"
"10","4.765","0.239","4.855","0.899"
"11","0.254","4.086","0.493","4.117"
"12","20.986","4.271","20.925","18.860"
"13","0.912","16.671","0.703","1.465"
"14","0.179","5.334","0.105","6.141"
"15","26.793","1.512","26.986","17.870"
"16","1.737","17.808","1.513","1.197"
"17","0.090","9.312","0.299","25.854"
"18","21.121","23.099","21.033","19.566"
"19","0.584","17.006","0.597","5.213"
"20","1.348","7.581","1.394","19.952"
"21","17.034","18.695","17.066","21.442"
"22","5.097","21.846","4.915","18.058"
"23","2.393","17.846","2.498","5.511"
"24","17.663","8.268","17.828","7.414"
"25","0.375","2.319","0.629","19.187"
"26","0.824","22.603","0.403","17.764"
"27","20.512","14.977","20.421","15.129"
"28","0.299","15.847","0.509","17.649"
"29","1.003","18.174","0.899","16.540"
"30","22.818","13.065","22.773","0.990"
"31","2.922","4.870","2.907","5.226"
"32","0.283","4.567","0.298","15.601"
"33","2.067","15.914","2.007","15.897"
"34","22.677","15.435","22.812","16.267"
"35","0.254","13.048","0.300","0.899"
"36","14.541","4.701","14.437","14.334"
"37","0.196","17.497","0.105","9.317"
"38","0.120","16.276","0.194","27.330"
"39","14.185","17.597","14.231","17.493"
"40","1.468","18.526","1.406","6.302"
"41","0.283","3.084","0.299","14.257"
"42","16.930","13.060","17.036","1.410"
"43","0.314","2.741","0.209","12.886"
"44","0.973","17.079","1.093","20.273"
"45","15.897","17.609","15.747","15.264"
"46","0.809","18.442","0.793","20.396"
"47","4.462","16.004","4.912","16.586"
"48","15.168","17.039","14.747","16.048"
"49","1.586","17.165","1.603","16.554"
"50","0.614","17.304","0.597","15.457"
"51","14.009","13.046","14.565","4.823"
"52","1.048","4.582","0.614","15.494"
"53","0.301","19.513","0.300","8.873"
