"Row_Name","Nose_Poke #1: On","Tray #1: On"
"N","267","75"
"Mean","11.960","43.089"
"Median","0.687","8.796"
"Mode","0.404, 0.135","All values"
"SD","60.923","125.337"
"Min","0.074","0.104"
"Max","808.892","820.349"
"Blank",,
"1","0.103","0.732"
"2","40.487","0.510"
"3","17.497","0.794"
"4","0.255","2.563"
"5","3.399","1.243"
"6","2.171","1.662"
"7","0.509","0.390"
"8","17.759","1.122"
"9","0.524","1.093"
"10","0.359","7.799"
"11","0.403","0.868"
"12","1.212","3.849"
"13","21.076","23.877"
"14","0.987","0.643"
"15","0.838","17.855"
"16","0.344","36.910"
"17","0.764","3.621"
"18","0.344","18.727"
"19","0.449","5.139"
"20","1.377","14.747"
"21","22.384","5.734"
"22","0.284","26.036"
"23","0.283","23.027"
"24","3.206","4.479"
"25","1.362","13.302"
"26","11.054","7.104"
"27","0.419","15.177"
"28","0.359","13.304"
"29","0.465","13.570"
"30","0.329","45.442"
"31","7.674","4.329"
"32","15.402","1.750"
"33","10.983","35.095"
"34","1.331","1.243"
"35","3.057","0.314"
"36","0.180","0.495"
"37","0.269","0.764"
"38","0.134","8.533"
"39","0.403","1.273"
"40","1.031","4.939"
"41","1.528","24.432"
"42","0.584","0.778"
"43","2.754","25.652"
"44","0.074","3.837"
"45","1.646","13.721"
"46","2.263","49.480"
"47","20.173","0.104"
"48","2.605","50.700"
"49","7.115","101.841"
"50","1.872","336.291"
"51","1.362","32.970"
"52","1.062","1.480"
"53","15.713","1.228"
"54","0.314","29.681"
"55","30.406","0.822"
"56","0.478","14.196"
"57","0.329","1.331"
"58","0.570","14.554"
"59","0.567","2.260"
"60","0.360","8.796"
"61","2.919","26.131"
"62","0.749","11.246"
"63","0.433","613.803"
"64","0.180","40.019"
"65","17.326","11.769"
"66","0.074","5.003"
"67","20.689","46.110"
"68","0.643","0.448"
"69","0.209","820.349"
"70","1.675","23.190"
"71","0.150","18.249"
"72","0.209","31.226"
"73","0.478","318.007"
"74","0.179","54.513"
"75","4.149","127.410"
"76","0.134",
"77","1.497",
"78","1.437",
"79","0.419",
"80","31.587",
"81","9.228",
"82","0.944",
"83","0.733",
"84","1.677",
"85","2.230",
"86","0.120",
"87","0.329",
"88","0.613",
"89","0.343",
"90","89.021",
"91","31.835",
"92","0.674",
"93","0.254",
"94","0.450",
"95","0.642",
"96","0.629",
"97","0.436",
"98","1.634",
"99","0.494",
"100","0.194",
"101","0.403",
"102","0.509",
"103","4.375",
"104","0.254",
"105","0.629",
"106","0.134",
"107","0.599",
"108","0.419",
"109","120.308",
"110","0.208",
"111","0.748",
"112","0.644",
"113","1.274",
"114","0.568",
"115","0.839",
"116","266.351",
"117","0.149",
"118","0.793",
"119","0.793",
"120","0.629",
"121","0.360",
"122","27.938",
"123","0.179",
"124","0.314",
"125","0.298",
"126","0.299",
"127","0.733",
"128","0.328",
"129","0.555",
"130","0.434",
"131","19.377",
"132","1.361",
"133","0.105",
"134","0.254",
"135","0.210",
"136","0.103",
"137","0.614",
"138","0.193",
"139","0.570",
"140","0.525",
"141","0.432",
"142","10.364",
"143","14.120",
"144","6.856",
"145","0.807",
"146","0.585",
"147","0.239",
"148","0.358",
"149","0.615",
"150","0.749",
"151","1.226",
"152","2.261",
"153","0.419",
"154","10.018",
"155","0.269",
"156","0.644",
"157","0.134",
"158","1.468",
"159","0.674",
"160","0.194",
"161","0.495",
"162","33.455",
"163","0.942",
"164","1.272",
"165","0.808",
"166","0.224",
"167","0.316",
"168","388.184",
"169","0.735",
"170","0.179",
"171","0.479",
"172","0.597",
"173","0.419",
"174","1.035",
"175","237.234",
"176","0.734",
"177","0.149",
"178","0.509",
"179","1.003",
"180","13.092",
"181","3.490",
"182","0.822",
"183","0.134",
"184","0.838",
"185","0.883",
"186","6.951",
"187","0.194",
"188","1.423",
"189","0.134",
"190","0.659",
"191","1.136",
"192","1.841",
"193","0.809",
"194","0.315",
"195","0.239",
"196","0.253",
"197","1.199",
"198","13.499",
"199","1.500",
"200","0.149",
"201","0.554",
"202","0.180",
"203","42.820",
"204","1.587",
"205","0.163",
"206","808.892",
"207","0.463",
"208","0.675",
"209","0.121",
"210","0.914",
"211","0.687",
"212","0.090",
"213","33.103",
"214","2.992",
"215","0.403",
"216","0.570",
"217","1.108",
"218","0.447",
"219","0.479",
"220","0.614",
"221","1.016",
"222","41.757",
"223","2.097",
"224","1.855",
"225","0.390",
"226","0.553",
"227","1.440",
"228","170.912",
"229","0.105",
"230","0.943",
"231","1.123",
"232","0.643",
"233","0.750",
"234","0.553",
"235","0.330",
"236","0.986",
"237","139.485",
"238","1.226",
"239","0.284",
"240","0.090",
"241","5.496",
"242","0.959",
"243","0.119",
"244","1.873",
"245","36.404",
"246","1.031",
"247","0.749",
"248","0.719",
"249","0.748",
"250","4.338",
"251","1.184",
"252","0.974",
"253","2.561",
"254","38.661",
"255","1.692",
"256","82.180",
"257","0.165",
"258","0.360",
"259","1.557",
"260","6.786",
"261","1.840",
"262","0.913",
"263","0.208",
"264","0.209",
"265","0.150",
"266","0.868",
"267","0.075",
