"Row_Name","Nose_Poke #1: On","Nose_Poke #1: Off"
"N","153","153"
"Mean","14.469","14.474"
"Median","1.004","0.915"
"Mode","0.255, 0.450, 0.270, 0.750, 0.105","0.435, 0.510"
"SD","72.212","72.099"
"Min","0.073","0.090"
"Max","761.078","759.596"
"Blank",,
"1","0.391","0.567"
"2","0.493","0.134"
"3","14.300","14.509"
"4","0.359","0.314"
"5","0.388","0.718"
"6","0.687","0.344"
"7","10.409","10.529"
"8","0.493","0.373"
"9","0.448","0.435"
"10","0.270","0.223"
"11","0.254","0.390"
"12","0.329","0.090"
"13","0.179","0.208"
"14","10.031","10.346"
"15","0.598","0.388"
"16","0.269","0.166"
"17","0.210","0.223"
"18","0.164","0.359"
"19","0.405","0.510"
"20","3.042","3.117"
"21","0.600","0.284"
"22","11.260","11.426"
"23","0.434","0.359"
"24","0.404","1.301"
"25","1.304","0.510"
"26","1.975","1.841"
"27","0.375","0.703"
"28","0.674","0.436"
"29","0.480","0.510"
"30","1.573","1.768"
"31","4.625","4.325"
"32","10.381","11.549"
"33","1.527","0.448"
"34","0.463","0.299"
"35","1.993","2.067"
"36","0.449","0.480"
"37","44.653","44.803"
"38","61.139","60.748"
"39","0.074","2.956"
"40","3.001","0.344"
"41","0.780","0.853"
"42","0.373","0.330"
"43","0.419","0.763"
"44","6.426","8.012"
"45","2.319","1.094"
"46","1.200","0.466"
"47","20.506","21.989"
"48","44.661","43.655"
"49","0.927","0.299"
"50","0.283","0.764"
"51","0.808","0.492"
"52","0.359","0.957"
"53","1.123","1.516"
"54","1.500","0.629"
"55","7.119","7.134"
"56","0.524","1.182"
"57","1.213","0.538"
"58","0.538","0.584"
"59","0.585","0.375"
"60","0.269","1.064"
"61","1.122","0.749"
"62","0.750","0.702"
"63","97.827","98.160"
"64","1.020","2.367"
"65","2.517","0.435"
"66","19.093","18.942"
"67","0.120","1.394"
"68","1.408","0.718"
"69","0.779","0.495"
"70","0.583","0.300"
"71","0.209","0.284"
"72","49.773","49.757"
"73","1.812","1.887"
"74","0.254","0.644"
"75","0.750","0.345"
"76","0.269","0.240"
"77","0.194","0.435"
"78","0.480","0.463"
"79","0.658","0.943"
"80","0.959","0.600"
"81","0.449","1.334"
"82","5.649","6.069"
"83","1.709","0.524"
"84","0.555","0.764"
"85","4.388","3.968"
"86","0.360","1.590"
"87","1.634","0.810"
"88","0.659","0.778"
"89","0.823","0.404"
"90","170.136","170.166"
"91","44.969","44.729"
"92","2.233","2.338"
"93","0.298","2.009"
"94","2.041","0.988"
"95","1.033","0.495"
"96","0.449","0.794"
"97","2.053","2.038"
"98","1.708","1.932"
"99","1.677","1.454"
"100","0.721","0.555"
"101","0.688","0.223"
"102","0.164","0.735"
"103","1.004","0.615"
"104","0.870","0.915"
"105","0.823","0.836"
"106","4.418","7.942"
"107","4.438","2.295"
"108","13.287","12.086"
"109","0.509","0.645"
"110","0.629","0.209"
"111","0.299","0.375"
"112","2.307","2.397"
"113","0.433","2.726"
"114","2.922","0.462"
"115","0.209","0.120"
"116","0.419","0.629"
"117","0.628","1.123"
"118","0.853","3.044"
"119","3.555","5.759"
"120","9.190","4.346"
"121","0.450","0.345"
"122","36.919","37.715"
"123","1.514","1.798"
"124","1.634","1.034"
"125","1.170","4.528"
"126","5.725","4.451"
"127","4.120","3.028"
"128","2.624","1.918"
"129","1.482","0.629"
"130","0.225","1.123"
"131","1.063","2.833"
"132","4.030","2.111"
"133","1.798","0.942"
"134","0.074","0.703"
"135","11.838","12.544"
"136","80.334","79.000"
"137","0.105","1.394"
"138","6.741","9.274"
"139","4.063","0.765"
"140","74.020","74.783"
"141","1.961","0.687"
"142","2.559","2.531"
"143","0.105","1.708"
"144","1.844","0.225"
"145","0.073","0.389"
"146","429.038","428.767"
"147","0.134","2.278"
"148","2.261","0.749"
"149","0.943","0.988"
"150","12.046","12.541"
"151","1.380","1.347"
"152","5.582","6.960"
"153","761.078","759.596"
