"Row_Name","Nose_Poke #1: On","Tray #1: On","Nose_Poke #1: Off","Tray #1: Off"
"N","177","56","176","55"
"Mean","17.421","43.274","17.520","44.050"
"Median","0.870","13.861","0.809","14.980"
"Mode","0.479, 0.225, 0.135, 1.304, 0.120, 0.090, 0.209, 0.375","All values","0.405","All values"
"SD","72.646","103.025","72.866","106.153"
"Min","0.076","0.074","0.088","0.840"
"Max","650.654","613.138","650.221","634.668"
"Blank",,,,
"1","0.120","49.827","0.313","60.831"
"2","59.736","12.019","59.662","1.107"
"3","25.742","8.283","25.711","10.320"
"4","1.871","3.475","2.818","3.712"
"5","15.552","5.228","14.442","3.614"
"6","0.435","3.611","0.599","16.062"
"7","16.658","14.323","16.554","3.100"
"8","2.471","12.792","2.514","28.379"
"9","4.600","18.522","4.602","0.840"
"10","0.194","2.188","0.193","2.276"
"11","0.223","7.444","0.150","6.725"
"12","10.831","0.074","10.876","3.611"
"13","0.478","1.034","0.628","25.079"
"14","23.328","13.977","23.358","8.117"
"15","0.314","19.400","0.194","31.075"
"16","2.290","16.044","2.500","1.318"
"17","0.509","18.462","0.209","8.819"
"18","0.584","8.625","0.689","27.013"
"19","2.800","8.775","2.711","1.001"
"20","0.150","18.956","0.403","5.915"
"21","0.478","5.928","0.194","63.913"
"22","0.884","35.440","1.049","16.850"
"23","1.168","45.247","1.063","30.603"
"24","0.239","30.785","1.002","1.406"
"25","26.784","2.050","26.112","1.002"
"26","0.420","0.942","0.389","4.610"
"27","0.225","4.654","0.300","73.779"
"28","0.478","69.948","0.597","39.935"
"29","2.754","13.745","2.605","7.923"
"30","2.259","37.331","2.216","2.499"
"31","0.238","2.080","0.509","14.980"
"32","0.841","12.968","0.598","128.009"
"33","0.329","129.255","0.494","326.146"
"34","1.062","327.030","0.897","18.791"
"35","0.239","19.000","0.704","406.979"
"36","3.382","407.608","3.412","5.918"
"37","0.733","1.724","0.298","24.098"
"38","0.567","27.078","0.704","28.971"
"39","0.599","7.054","0.507","5.409"
"40","19.090","27.985","18.956","4.316"
"41","0.224","4.211","0.105","16.469"
"42","0.254","6.548","0.493","17.505"
"43","0.597","23.359","0.403","38.606"
"44","0.480","41.793","1.050","11.617"
"45","0.870","11.375","0.464","19.038"
"46","0.300","19.263","0.105","27.153"
"47","0.343","9.736","0.492","5.407"
"48","40.589","23.048","42.238","7.145"
"49","1.902","6.831","0.704","11.125"
"50","1.783","8.047","1.812","24.279"
"51","0.747","27.208","0.105","11.634"
"52","0.105","12.205","0.088","86.118"
"53","0.118","85.773","0.704","634.668"
"54","42.324","613.138","41.740","32.442"
"55","0.076","54.150","0.194","24.509"
"56","0.268","25.722","0.404",
"57","1.153",,"2.008",
"58","75.548",,"74.466",
"59","0.194",,"0.300",
"60","0.313",,"0.298",
"61","0.810",,"0.704",
"62","0.463",,"0.807",
"63","0.733",,"0.599",
"64","0.330",,"0.193",
"65","0.179",,"0.105",
"66","36.686",,"36.731",
"67","7.173",,"7.232",
"68","0.658",,"0.599",
"69","0.164",,"1.106",
"70","1.091",,"0.493",
"71","4.344",,"4.029",
"72","0.225",,"0.404",
"73","0.911",,"1.002",
"74","0.780",,"0.794",
"75","145.100",,"144.966",
"76","0.882",,"1.810",
"77","1.647",,"1.302",
"78","306.168",,"308.028",
"79","18.579",,"18.252",
"80","2.413",,"0.299",
"81","0.571",,"0.793",
"82","430.509",,"430.061",
"83","1.365",,"1.408",
"84","0.823",,"0.808",
"85","0.163",,"0.898",
"86","1.482",,"1.213",
"87","0.629",,"0.284",
"88","0.538",,"0.418",
"89","0.134",,"0.509",
"90","7.936",,"7.622",
"91","0.195",,"0.164",
"92","27.041",,"26.997",
"93","3.910",,"4.209",
"94","1.019",,"0.809",
"95","2.833",,"2.802",
"96","0.224",,"0.210",
"97","0.733",,"1.603",
"98","2.218",,"1.303",
"99","0.448",,"0.494",
"100","0.210",,"0.404",
"101","20.632",,"20.948",
"102","1.304",,"0.791",
"103","0.748",,"0.809",
"104","0.778",,"0.703",
"105","38.992",,"38.976",
"106","1.183",,"2.114",
"107","0.119",,"0.807",
"108","1.573",,"5.120",
"109","4.925",,"2.199",
"110","2.079",,"0.299",
"111","0.613",,"0.807",
"112","0.673",,"2.903",
"113","2.185",,"26.258",
"114","26.960",,"0.615",
"115","0.825",,"0.495",
"116","0.090",,"0.494",
"117","0.929",,"0.209",
"118","0.090",,"0.089",
"119","0.208",,"0.404",
"120","0.134",,"0.702",
"121","0.419",,"35.590",
"122","36.099",,"0.388",
"123","0.119",,"0.299",
"124","0.493",,"1.513",
"125","1.259",,"21.470",
"126","19.717",,"3.009",
"127","3.278",,"0.509",
"128","2.067",,"1.095",
"129","0.764",,"5.107",
"130","5.633",,"1.498",
"131","0.793",,"0.313",
"132","0.944",,"1.662",
"133","1.541",,"1.632",
"134","1.182",,"1.318",
"135","1.918",,"0.209",
"136","0.269",,"0.703",
"137","0.223",,"3.801",
"138","4.175",,"1.108",
"139","1.213",,"0.703",
"140","0.208",,"0.792",
"141","1.004",,"4.901",
"142","2.514",,"51.546",
"143","50.605",,"1.709",
"144","4.240",,"0.852",
"145","1.394",,"0.644",
"146","0.807",,"0.598",
"147","0.584",,"9.736",
"148","10.184",,"0.390",
"149","0.375",,"0.103",
"150","0.120",,"0.286",
"151","0.299",,"3.219",
"152","2.125",,"0.809",
"153","1.722",,"0.598",
"154","0.449",,"0.928",
"155","0.824",,"2.878",
"156","0.598",,"1.003",
"157","2.998",,"153.359",
"158","151.026",,"0.210",
"159","3.127",,"458.878",
"160","459.028",,"0.298",
"161","0.135",,"42.994",
"162","42.918",,"0.239",
"163","0.403",,"1.961",
"164","0.628",,"6.529",
"165","7.682",,"2.006",
"166","1.286",,"0.404",
"167","1.304",,"52.086",
"168","52.101",,"0.778",
"169","0.315",,"1.111",
"170","0.855",,"1.900",
"171","1.140",,"26.858",
"172","25.868",,"0.989",
"173","3.490",,"0.719",
"174","0.119",,"650.221",
"175","650.654",,"0.239",
"176","0.375",,"0.793",
"177","0.703",,,
